Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022]
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Israel,ISR,..,5.95195007324219,5.78415012359619,5.70471000671387,5.7976598739624,5.79980993270874,6.00771999359131,6.06284999847412,6.05673980712891,6.46229982376099,7.41640901565552,..
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Italy,ITA,..,4.29107999801636,4.14367008209229,4.06127977371216,4.07362985610962,3.81578993797302,4.04493999481201,4.25614023208618,4.09527015686035,4.44194984436035,4.13088607788086,..
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Jamaica,JAM,4.7791600227356,4.98346996307373,6.25108003616333,6.01586008071899,5.45521020889282,5.31461000442505,5.26016998291016,5.41380977630615,5.16364002227783,5.61749505996704,5.63123989105225,5.51981496810913
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Japan,JPN,..,3.46011996269226,3.62496995925903,3.55158996582031,3.22902536392212,3.14643001556396,3.13057994842529,3.07782006263733,3.15533995628357,3.41698098182678,3.31738376617432,..
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Jordan,JOR,..,..,..,..,..,3.45282006263733,3.21305990219116,2.95461988449097,2.98846006393433,..,3.22043991088867,3.24026989936829
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Kazakhstan,KAZ,..,3.25661993026733,3.4373152256012,3.42450284957886,2.7885799407959,2.97810006141663,2.75081992149353,2.61595010757446,2.8569700717926,4.44620370864868,4.38569402694702,4.20547008514404
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Kenya,KEN,..,5.1867299079895,4.83721017837524,4.7172999382019,4.74350023269653,4.89518022537231,4.96308994293213,5.10761976242065,4.57799243927002,4.62815570831299,4.59009981155396,4.07595586776733
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Kiribati,KIR,..,11.1858701705933,13.2187795639038,12.9531269073486,12.1140260696411,13.4831161499023,13.5754632949829,..,13.5741233825684,..,15.5851249694824,..
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,"Korea, Dem. People's Rep.",PRK,..,..,..,..,..,..,..,..,..,..,..,..
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,"Korea, Rep.",KOR,3.03873991966248,..,..,..,4.45423793792725,4.33309984207153,4.32823991775513,4.45807981491089,4.68465995788574,4.8017201423645,..,..
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Kosovo,XKX,..,..,..,..,..,..,..,..,..,..,..,..
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Kuwait,KWT,..,..,..,..,..,..,..,..,..,..,..,..
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Kyrgyz Republic,KGZ,..,3.50838994979858,6.78020000457764,5.53159999847412,5.98550987243652,6.58615016937256,6.02618980407715,5.55267000198364,5.36674976348877,6.09391021728516,6.53140163421631,7.95867156982422
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Lao PDR,LAO,..,1.50369000434875,3.23380994796753,2.93780994415283,2.73689794540405,2.77442979812622,2.4979727268219,2.33501219749451,2.12201404571533,1.91597270965576,1.85949182510376,1.39385032653809
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Latvia,LVA,..,5.27427005767822,6.99697017669678,5.28122997283936,5.28251981735229,4.65749979019165,4.36671018600464,4.24356985092163,4.42054986953735,4.82104015350342,5.70073890686035,..
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Lebanon,LBN,..,..,2.43396997451782,..,..,2.12633323669434,2.13748621940613,2.52722072601318,2.60026550292969,1.66996812820435,..,..
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Lesotho,LSO,..,10.0915498733521,7.28999996185303,7.19999980926514,8.68563556671143,7.80192899703979,8.1553201675415,7.28360986709595,7.19406890869141,6.99799251556396,7.50747919082642,6.43347549438477
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Liberia,LBR,..,..,1.69078004360199,2.20005011558533,2.11587476730347,2.11479687690735,2.66330003738403,2.50391006469727,2.493976354599,2.13991451263428,2.53214001655579,2.59525990486145
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Libya,LBY,..,..,..,..,..,..,..,..,..,..,..,..
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Liechtenstein,LIE,..,..,..,..,..,..,..,..,..,..,..,..
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Lithuania,LTU,..,5.60238599777222,4.60233020782471,4.48657989501953,4.2271900177002,4.004310131073,3.81220006942749,3.89289999008179,3.96757006645203,4.51255989074707,4.84267044067383,..
